_M_Barrio_mut0,edu.uclm.esi.iso5.juegos.monopoly.dominio.Barrio,todasLasCallesPertenecenAlMismo,||,&&
_M_Estacion_mut9,edu.uclm.esi.iso5.juegos.monopoly.dominio.Estacion,getTasaPorCaer,/,-
_M_Estacion_mut10,edu.uclm.esi.iso5.juegos.monopoly.dominio.Estacion,getTasaPorCaer,/,*
_M_Estacion_mut11,edu.uclm.esi.iso5.juegos.monopoly.dominio.Estacion,getTasaPorCaer,/,%
_M_Jugador_mut0,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,tirarDados,&&,||
_M_Jugador_mut1,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,getSumaDados,+,-
_M_Jugador_mut2,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,getSumaDados,+,*
_M_Jugador_mut3,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,getSumaDados,+,/
_M_Jugador_mut4,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,getSumaDados,+,%
_M_Jugador_mut5,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,toString,>,==
_M_Jugador_mut6,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,toString,>,!=
_M_Jugador_mut7,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,toString,>,<
_M_Jugador_mut8,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,toString,>,<=
_M_Jugador_mut9,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,toString,>,>=
_M_Jugador_mut10,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,toString,>,==
_M_Jugador_mut11,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,toString,>,!=
_M_Jugador_mut12,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,toString,>,<
_M_Jugador_mut13,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,toString,>,<=
_M_Jugador_mut14,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,toString,>,>=
_M_Jugador_mut15,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,setDados,&&,||
_M_Jugador_mut16,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,setDados,>,==
_M_Jugador_mut17,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,setDados,>,!=
_M_Jugador_mut18,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,setDados,>,<
_M_Jugador_mut19,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,setDados,>,<=
_M_Jugador_mut20,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,setDados,>,>=
_M_Jugador_mut21,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,setDados,||,&&
_M_Jugador_mut22,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,setDados,==,!=
_M_Jugador_mut23,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,setDados,==,<
_M_Jugador_mut24,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,setDados,==,>
_M_Jugador_mut25,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,setDados,==,<=
